id,avis,note,reponse_proprietaire
avis-058,"On ne se rend pas compte à quel point un resto peut faire partie de notre vie jusqu'à sa fermeture. C'est ce qui m'était arrivé avec La Ligne Rouge, resto qui a fait parti de ma vie pendant longtemps. Nous arrêtions après nos soirées alcoolisées pour bouffer de bons souvlaki ""donners"" dans ce resto sans prétention.

Puis, soudainement, comme beaucoup de restos pendant la pandémie, la Ligne Rouge est disparue. Mais voilà qu'elle est de retour. Même personnel sympathique, avec en tête le même gars avec sa moustache en poignée de bicycle qu'on voyait sur la vitrine! Personnel qui est toujours super occupé et un peu bourru mais des gens qui tiennent à leurs clients. Je suis toujours super bien servi.

Ne vous attendez pas à un resto ""jeune et tendance"". Le décor a pas vraiment été refait. La série de tables est un peu inconfortable. Avec si peu de clientèle, il serait temps d'aérer ça! Changer le décor un peu. Pour le paiement: cash only!

Maintenant, parlons de la bouffe.

LA BOUFFE! Pur délice! Les pita ""donners"" au porc sont tellement sur la coche! Savoureux avec des épices simples. C'est inimitable. Les bonne grosses frites faites maison. Pas de surgelé, des VRAIES frites.

Le menu est relativement simple, mais c'est exactement ce qui explique le succès. Nous sommes beaucoup de fidèles de ce resto. J'oserais dire que c'est une institutions montréalaise au même titre que Schwartz’s, Wilensky, Orange Julep, etc...

La Ligne Rouge est un petit trésor et un des secrets cachés de notre ville. Je n'ai aucune idée sur le proprio actuel entrevoit de la relève, mais vaut mieux en profiter maintenant, au cas où ça fermerait à nouveau!",5,Merci pour les étoiles pis merci pour toutes Martin On va être la première mars pis on encore ici pour une autre année notre 43e
avis-059,Came here during my visit to Montreal in Summer 2023. Absolutely delicious poutine and great for people watching at night :) Thanks again. Mike from the UK.,5,"You the man, Mik"
avis-060,"Très bon ""gyro pita""avec super grosse portion de frites maison. 😊😊😊",5,Merci Linda
avis-061,"LEARN TO UPDATE THE HOURS. Wasting people time just by leaving a voice mail that says “come on in we’re open”. Not one time but 4 times fooled us in the past 2 weeks. If you’re closed for the holidays, updates the hours UNEDUCATED OWNERS!!!",1,"I won’t even bother to answer you. I’ll send you the memo next time , sorry bro"
avis-062,"Nous avons été accueillis assez brusquement par le cuisinier, avec un regard de déception pour chaque client qui franchissait la porte. Ne laissait pas le temps de répondre qu'il criait par dessus pendant ta commande sans te laisser vraiment le choix de choisir ce que tu veux comme ingrédients....

Aide cuisinier simpa, ne semblait aucunement impressionné par l'attitude du cuisinier.

Le monsieur a la caisse, bien aimable, laissant place à un peu d'humour dans l'environnement inconfortable que procurait le cuisiner.

La nourriture laissait un peu à désirer, c'était définitivement pas le meilleur de gyros que j'ai mangé.",1,"Sorry,,,,,"
avis-063,"The place is dirty. CASH ONLY but there is an ATM in the middle of the place so you dont have an excuse not to have cash on. The bathroom... no comments. There were three guys:

The cashier - the first impression is the one of a retired biker however he was very respectful and kind gentleman.

The latino guy - Excellent customer service and very kind and nice. (Im sure he won't be working there too long. He deserves way much better)

The chef (and the owner?) - I know you will be reading this: If you dont want to work.. then DONT!! you were in a bad mood. Screaming to the clients with a bad attitude. You were mad just because we asked you at what time the restaurant closes. You were mad because we made our order and answered ""THAT WILL BE 15 MINUTES"" you were mad because we were waiting for our order and said: For here or to go? And we answered: ""For here"" which was replied with: ""Go take a seat than""

The food was not the big deal. My wife and friend could not finish their meal. I finished it because I was too hungry and was the only place we found in the area that was not about to close.

Chef, you say there wont be a free drink next time? Actually I paid for the drink and my friend didnt want it. And... there wont be a next time.

I have to give you credit however for being honest and giving us back the purse that my friend forgot in there.

And at least i've been laughing out loud reading your responses to the reviews. I can listen to your voice while reading it.

NEXT!!!",1,
avis-064,"I love going there, every time I go back to Montreal I make sure I stop there.
They are great people!",5,Now this is the stuff we love !!! Thanks for the stars and comment
avis-065,La poutine était très bonne :),4,"Merci pour les étoiles, et le comment"
avis-066,Le gars qui prépare la bouffe avec ca grosse air bête devrait changer de job et ca leur tente pas aux autre employer de lui dire que ca la pas d’allure son service qu’il donne aux client il faudrait peut-être qu’il comprenne que si il n’aurait pas de client qu’il aurait pas de job,1,Merci Chantal i faut le dire je  va le dire
avis-067,"This is the best gyro in Montreal.
A staple of this city that no one should sleep on.
Good prices, cash only.",5,Thanks kevin you the man
avis-068,"First time, eating there so I love theirs foods. It's nice and cozy.",5,"Thanks for the stars Marco, come again soon Marco. We’ll be opening again on the 1rst ofMarch"
avis-069,"The best souvlaki in Quebec and poutine with meat i drive 1 hour back and forward just for the best souvlaki, been eating here since 2003.",5,You the man!!!! Bro
avis-070,Jais vraiment aimé mon experiance,5,Merci Francisco
avis-071,So tasty!,5,Thanks for the stars Steven
avis-072,Ricos zulakis,5,Thanks for the stars Yeraldito
avis-073,Delicious as usual!!!,5,Thanks Germain
avis-074,"so glad you're back guys! Congrats to all of you still share your food with us. I know La ligne rouge"" since more than 28 years. Everyone should try your souvlaki, the best ever!",5,Thanks for the stars Octa and your review
avis-075,"Rien d’exceptionnel, tout juste mangeable. J’avais eu de bons retours concernant la bouffe et j’ai été très très déçu. Sans parler du cash only qui pour moi est inadmissible. Trop de bon resto dans le quartier, je n’y retournerai pas",3,"thanks for the stars but sorry about your comment, clearly you haven't eaten in too many places"
avis-076,"A staple in Montreal. Easily the best doner in town. Great value for the price.

You'd think a business that's been around this long would have bad service, but the two guys behind the counter are always nice and efficient.",5,Thanks for the stars and the kind words
avis-077,"Amazing delicious gyro, the best in the city.The fries are excellent! So dam good I've been twice in a week!!
On top of that served by two great guys who are always super nice.",5,Thanks for the stars and the comment
avis-078,Meilleure place à Montréal pour les Gyros et souvlaki pita 😍 je connais cette endroit depuis plus de 15 ans 👌👌😍🤤,5,Merci Julie
avis-079,So happy this is reopened! Best Doners in Town hands down,5,Thanks nikolas
avis-080,Genuine,5,Thanks 10
avis-081,Great Gyro and Staff,5,Thanks Tony
avis-082,Was severely disappointed with the quality of the food. Had a bad stomach ache afterwards.,1,"We are very sorry to hear about your experience, you never know sometimes your body cannot handle some spices, we only use the freshest ingredients"
avis-083,I was in shock holy$&%€😂😂😂😂 like never had a good poutine in so long I can't believe my mouth !!!,5,"Thanks for your comment, we try to make the best food possible, we  love to hear comments from happy customers, thanks"
avis-084,Best of the best,5,Yea baby!!!!
avis-085,amazing ima go back,5,thanks a lot  DR
avis-086,the best souvlakis I tasted . and very good attention .,5,thanks ricana
avis-087,THIS PLACE IS LEGENDARY. EVERYTHING IS GOOD.,5,thanks rickey D
avis-088,"I heard many good reviews at La ligne Rouge. I went there around 9h30 p.m. I got the poutine, a pita, and the burger. The staff seemed in a rush even tho there weren't many people. It was my first time, and I felt unwelcome due to the fact that I was taking my time to choose. The price is average and so is the cleaness of the store. Food is ok. There were too many Tzatziki sauces in the burger and the pita. The fries were soggy, and the sauce was too salty. The portion is big. They only accept cash. If not, there is an ATM in person.",3,"thanks  diana ,its been hektic lately and we are understaffed but we should be ontrack by this week , do come back and specify the amount of tzatziki you want in your sandwiches because you arte one of the few people who want less tzatziki in there food"
avis-089,Best Souvlakis in town,5,thanks jason
avis-090,"My favourite Pita place in Montréal ever, not only the food but it’s my souvenir Pita joint the first days of my new life in Montréal 35 years ago , I’m so glad they have reopened after a few years closed .I love this place and wish them all the best.",5,"thanks for the comment Hung,we appreciate your business and look forward to serving you for years to come"
avis-091,Les donner sont excellent !!+,4,thanks Ruth
avis-092,J’ai été déçu de ma visite à se resto beaucoup de gras dans mon sandwich au poulet j’ai vraiment pas apprécié,3,"sorry, everybody has bad days, let us know when you come back and we will replace the sandwich"
avis-093,"Love it sooo much I grow up❤
With this💎 restaurant 💎",5,thanks Sade
avis-094,"Best souvlaki in Montreal, cash only but I don’t care for this restaurant it’s worth it",5,thanks cathrina
avis-095,"rude staff, food very mid, found a nail in my food WOULD NOT recommend!!!!!!",1,maybe it was - I won't even bother to respond tooth's review
avis-096,"Super rude owners, payment only by cash and honestly mid food. Would not recommend…",1,too bad what did you do to deserve this kind of treatment?
avis-097,"J'y suis allé plusieurs fois en fin de soirée après des spectacles ou d'autres événements quand j'habitais pas très loin du restaurant et j'ai toujours été très satisfait, peu importe ce que j'ai commandé.",5,thanks nicolas
avis-098,"Glad you opened again, great food as always.",5,thanks terry
avis-099,"Toujours aussi bon, j'y vais depuis 35 ans!😏😋",5,thanks louis-philippe
avis-100,The meat smells funky but the poutine was good.,3,"don't know what to say,,,, can't please everyone I guess"
avis-101,One of the worst poutine I've ever had. Cook your fries more,1,"sorry someone got confused and thought that you had to underfry the fries, the problem has been resolved now,thanks for the info"
avis-102,"Omg... washing their tables and cleaning the washroom will do them a favor. C'mon, it's a restaurant.",2,"good help is hard to find, next time you come call us we'll clean up your space"
avis-103,"Amazing place! No words. Food, the guy knows how to do it.",5,"thanks for the stars, this kind of reviews are what make our job worthwhile"
avis-104,"Quelle belle surprise, meilleur gyro grec en ville, portions généreuses et fait avec beaucoup d'amour du travail bien fait. Viande extrêmement savoureuse, tzatziki super et beaucoup d'épices-merci!",5,"thanks for the stars and the comment
"
avis-105,"Employés en tabarnac, mais bouffe toujours au rendez-vous et viande très juteuse. Bonne chance pour trouver une meilleure poutine dans un rayon de 1-2km.",5,thanks for the stars
avis-106,"Ma facture s’élevait à 26$ pour deux trios. Comme le restaurant n’acceptait que le cash, il fallait en retirer d’un ATM sur place, sauf que la machine ne m’a donné que 20$ pour des frais de 2$50. Pour le reste du montant, c’est-à-dire 6$, il fallait aller à la banque RBC à côté et retirer un autre 20$ pour 3$ de frais bancaires !!!! Quand j’ai exprimé mon mécontentement au gérant vis-à-vis de cette situation, il m’a tout simplement dit de ne plus revenir ! J’écouterai son conseil .",1,"next time bring cash, what do you want us to do?don't be a cry baby"
avis-107,"Le restaurant n’est  pas tres propre et les repas laissent à désirer
Le restaurant n’accepte que le cash et la machine ATM ne donne pas assez d’argent donc il faut se déplacer à la banque à côté pour en retirer davantage si la facture l’exige. Pour un trio de 12$ vous risquez de payer plus de 5 $ de frais bancaires . N’y allez pas !",1,stick to your spiderman job
avis-108,Buena porción de papas y taco,4,thanks for the stars Mamau
avis-109,"Payment by cash only. Came at 10pm

Pros: good food and meat, open late, great price

Cons: wrap bread a bit hard on one side, payment by cash only, bathroom is closed for use, guy who is  making food has a slight rude tone.",4,"thanks for the stars,good help is hard to find, do you have anyone who is willing to work?"
avis-110,"Ceux qui connaissent la ligne rouge avant c'est la même ligne rouge maintenant. La nourriture n'est pas salée, mais le sel est à côté des ustensiles. La nourriture est bonne, le service est rapide. Les tables sont crochent, mais c'est comme ça. Ceux qui reviennent sont nostalgique. J'ai bien mangé pour environ 20$ j'ai eu un gyros au poulet, une grosse poutine et un Pepsi fontaine.",5,thanks for the stars and the nice comment Sokhorn
avis-111,Meilleur gyro a montreal et de loin,5,thanks for the stars Selim
avis-112,"Always have to say
This is the place that sells the best Souvlaki food
Of course, there are many delicious dishes here too
I've been eating here since I first arrived in Montreal (Canada).
And now I have been a regular customer for nearly 30 years
During the Covid epidemic, this restaurant was closed for more than 2 years.
I'm really happy to see the restaurant back to work today
Thanks and see you again!
This restaurant's name is
Ligne Rouge
Located on Jean Talon
Right at the intersection of St-Denis",5,one of our best reviews ever thanks Ann!!!!!
avis-113,Je me permets de dire qu’ils vendent les meilleurs gyro HANDS DOWN 🙌🏾,5,thanks Eztelle
avis-114,"This is our favorite souvlaki place since forever! It was temporarily closed during and after covid, and I can't tell you how many times we've checked their website and called to check if they re-opend. Well, they finally did, and it was as good as ever! I'm also addicted to their fries and poutine, but the souvlaki is just insane! It's a tiny place and not the most romantic, but the food is amazing, and I still prefer it when my hubby brings me there compared to a bunch of fancy places!",5,thanks for the stars  Alexandra
avis-115,Food is good but the man taking orders is very rude .,4,"you""re right Amelia, but good help is hard to get thanks for the stars
"
